iters;time
5132;21.2971
5140;21.3223
5148;21.348
5156;21.3766
5164;21.4038
5172;21.4329
5180;21.4596
5188;21.4854
5196;21.5116
5204;21.5376
5212;21.5662
5220;21.593
5228;21.6216
5236;21.6473
5244;21.6726
5252;21.6987
5260;21.7263
5268;21.7506
5276;21.7798
5284;21.8054
5292;21.8371
5300;21.8633
5308;21.889
5316;21.9171
5324;21.9424
5332;21.9683
5340;21.9974
5348;22.025
5356;22.051
5364;22.0769
5372;22.1042
5380;22.1328
5388;22.1581
5396;22.1852
5404;22.2109
5412;22.2371
5420;22.2638
5428;22.2892
5436;22.32
5444;22.3488
5452;22.374
5460;22.4021
5468;22.4289
5476;22.4541
5484;22.4795
5492;22.5057
5492;22.528
5500;22.5556
5508;22.5823
5516;22.6109
5524;22.6362
5532;22.6618
5540;22.687
5548;22.7124
5556;22.7377
5564;22.763
5572;22.7886
5580;22.8138
5588;22.8396
5596;22.8653
5604;22.8912
5612;22.9179
5620;22.9456
5628;22.9732
5636;23.0037
5644;23.0299
5652;23.0558
5660;23.0834
5668;23.1123
5676;23.1387
5684;23.1659
5692;23.1908
5700;23.2188
5708;23.2446
5716;23.2708
5724;23.2994
5732;23.3256
5740;23.3531
5748;23.3783
5756;23.4063
5764;23.4325
5772;23.4616
5780;23.4906
5788;23.5168
5796;23.5445
5804;23.5717
5812;23.5966
5820;23.6237
5828;23.6497
5836;23.676
5844;23.7046
5852;23.7322
5860;23.7613
5868;23.7871
5876;23.8132
5884;23.8385
5892;23.8656
5900;23.891
5908;23.9213
5916;23.9483
5924;23.9754
5932;24.0054
5940;24.0316
5948;24.0569
5956;24.0855
5964;24.1114
5972;24.1424
5980;24.1703
5988;24.1981
5996;24.2296
6004;24.2548
6012;24.2882
6020;24.314
6028;24.3392
6036;24.3679
6044;24.4069
6052;24.4409
6060;24.4657
6068;24.492
6076;24.5234
6084;24.5505
6092;24.5757
6100;24.603
6108;24.6329
6116;24.6601
6124;24.6912
6132;24.7167
6140;24.7435
6148;24.7954
6156;24.8374
6164;24.8645
6172;24.8959
6180;24.9221
6188;24.9493
6196;24.9792
6204;25.0048
6212;25.0315
6220;25.0567
6228;25.0891
6236;25.1158
6244;25.1429
6252;25.1688
6260;25.1998
6268;25.2282
6276;25.2551
6284;25.2828
6292;25.308
6300;25.3381
6308;25.3638
6316;25.3929
6324;25.4211
6332;25.4468
6340;25.4752
6348;25.5031
6356;25.5294
6364;25.5566
6372;25.5823
6380;25.609
6388;25.6356
6396;25.6604
6404;25.6905
6412;25.7176
6420;25.7463
6428;25.7714
6436;25.7985
6444;25.8291
6452;25.8552
6460;25.882
6468;25.91
6476;25.9387
6484;25.9669
6492;25.9946
6500;26.022
6508;26.046
6516;26.0742
6524;26.1013
6532;26.1272
6540;26.1534
6548;26.18
6556;26.2057
6564;26.231
6572;26.2638
6580;26.2969
6588;26.3307
6596;26.3636
6604;26.3974
6612;26.4308
6620;26.4641
6628;26.4976
6636;26.5312
6644;26.5649
6652;26.5983
6660;26.6316
6668;26.6651
6676;26.6984
6684;26.7318
6692;26.7652
6700;26.7986
6708;26.8322
6716;26.8661
6724;26.8989
6732;26.9327
6740;26.9661
6748;26.9995
6756;27.0328
6764;27.0666
6772;27.0997
6780;27.133
6788;27.1664
6796;27.1998
6804;27.2331
6812;27.2665
6820;27.3
6828;27.3336
6836;27.3668
6844;27.4001
6852;27.4336
6860;27.4665
6868;27.5003
